Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
CDS-ATP6,313,684,0.4573%,99.3610%,0.99845844,0.23485539,0.09008919,0.02908850,0.00007706,0.06100069,0.00013036,99.0415%,37.6460%
CDS-ATP8,313,213,4.8058%,98.7220%,0.99691688,0.28793281,0.09477489,0.03234898,0.00010200,0.06242590,0.00017674,96.1661%,32.8921%
CDS-ATP_synthase_F0_subunit_6,3,681,0.0489%,100.0000%,1.00000000,0.20509055,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.3732%
CDS-ATP_synthase_F0_subunit_8,3,204,0.0000%,100.0000%,1.00000000,0.26307190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.4967%
CDS-COX1,313,1557,0.8243%,99.6805%,0.99922922,0.18827224,0.07783192,0.02448313,0.00005389,0.05334879,0.00010305,99.0415%,39.8069%
CDS-COX2,313,714,4.1887%,98.7220%,0.99691688,0.19380572,0.08052614,0.02556263,0.00005873,0.05496351,0.00010940,99.0415%,37.8960%
CDS-COX3,313,787,0.3702%,99.0415%,0.99768766,0.20742884,0.08238894,0.02670534,0.00006166,0.05568360,0.00011436,99.0415%,40.9221%
CDS-CYTB,313,1147,0.4482%,99.6805%,0.99922922,0.22304143,0.08889283,0.02648739,0.00005942,0.06240544,0.00011671,99.0415%,40.3108%
CDS-cytochrome_b,3,1143,0.0000%,100.0000%,1.00000000,0.19714202,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,41.3532%
CDS-cytochrome_c_oxidase_subunit_I,3,1545,0.0000%,100.0000%,1.00000000,0.17367853,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,42.6106%
CDS-cytochrome_c_oxidase_subunit_II,3,684,0.0975%,100.0000%,1.00000000,0.18421053,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.3659%
CDS-cytochrome_c_oxidase_subunit_III,3,784,0.0000%,100.0000%,1.00000000,0.19090136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,42.2194%
CDS-NADH_dehydrogenase_subunit_1,3,955,0.0000%,100.0000%,1.00000000,0.20523560,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,41.2216%
CDS-NADH_dehydrogenase_subunit_2,3,1035,0.1288%,100.0000%,1.00000000,0.29597424,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.1812%
CDS-NADH_dehydrogenase_subunit_3,3,348,0.0000%,100.0000%,1.00000000,0.26532567,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.9847%
CDS-NADH_dehydrogenase_subunit_4,3,1378,0.0726%,100.0000%,1.00000000,0.26269956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.9010%
CDS-NADH_dehydrogenase_subunit_4L,3,297,1.0101%,100.0000%,1.00000000,0.26150393,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.1361%
