Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
CDS-accD,293,7753,80.5930%,100.0000%,1.00000000,0.06836416,0.07667434,0.01205138,0.00004566,0.06462297,0.00024987,97.9522%,35.3736%
CDS-atpA,302,1588,4.4106%,100.0000%,1.00000000,0.09677183,0.03360058,0.00562728,0.00001963,0.02797331,0.00006452,95.6954%,40.5954%
CDS-atpB,302,1554,3.9927%,100.0000%,1.00000000,0.09084221,0.02927334,0.00484968,0.00001646,0.02442366,0.00005805,95.6954%,42.4986%
CDS-atpE,302,465,13.3219%,100.0000%,1.00000000,0.09856532,0.03476181,0.00609701,0.00002835,0.02866480,0.00007741,81.1258%,40.1776%
CDS-atpF,301,751,26.1928%,100.0000%,1.00000000,0.10455024,0.03926455,0.00627066,0.00002253,0.03299388,0.00009282,89.3688%,37.2727%
CDS-atpH,302,300,17.9338%,98.3444%,0.99517685,0.05969271,0.02136810,0.00510077,0.00001480,0.01626734,0.00004605,70.1987%,45.3276%
CDS-atpI,300,837,11.4062%,100.0000%,1.00000000,0.08759335,0.02815616,0.00504285,0.00001747,0.02311331,0.00005492,89.6667%,37.7670%
CDS-atpL,2,744,0.0000%,100.0000%,1.00000000,0.10618280,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.6344%
CDS-ccsA,297,1531,37.3718%,100.0000%,1.00000000,0.12886704,0.06078742,0.01061121,0.00003426,0.05017620,0.00011418,97.9798%,32.3023%
CDS-cemA,294,874,21.2394%,100.0000%,1.00000000,0.12195209,0.04744613,0.00707827,0.00002803,0.04036786,0.00015233,91.1565%,32.7270%
CDS-clpP,262,1583,61.9924%,100.0000%,1.00000000,0.07597061,0.06143986,0.00979235,0.00006411,0.05164751,0.00030939,87.4046%,41.7617%
CDS-clpp1,29,708,17.4167%,100.0000%,1.00000000,0.20880298,0.09142634,0.01828125,0.00139144,0.07314509,0.00261432,89.6552%,41.9792%
CDS-infA,215,960,75.9070%,100.0000%,1.00000000,0.07322163,0.06397318,0.01123398,0.00009486,0.05273920,0.00043779,78.6047%,36.7117%
CDS-lhbA,12,189,0.0000%,91.6667%,0.95350951,0.05611672,0.02453667,0.00668823,0.00035256,0.01784844,0.00145403,66.6667%,34.4797%
CDS-matK,301,2827,46.4819%,100.0000%,1.00000000,0.13487347,0.07347385,0.01187517,0.00004047,0.06159868,0.00013452,98.6711%,32.7213%
CDS-ndhA,283,1249,12.6761%,100.0000%,1.00000000,0.10941216,0.04073450,0.00765636,0.00002560,0.03307814,0.00007439,96.8198%,34.9555%
CDS-ndhB,285,1644,7.1712%,100.0000%,1.00000000,0.03194075,0.00616822,0.00102276,0.00000485,0.00514545,0.00001707,65.9649%,37.4790%
CDS-ndhC,285,444,18.1982%,100.0000%,1.00000000,0.06832717,0.02545586,0.00454959,0.00001528,0.02090627,0.00005205,78.2456%,35.8050%
CDS-ndhD,280,1744,15.1235%,100.0000%,1.00000000,0.15185560,0.04767601,0.00817859,0.00002732,0.03949742,0.00009997,97.8571%,35.4666%
CDS-ndhE,287,309,1.4648%,100.0000%,1.00000000,0.11470296,0.03353144,0.00644056,0.00002120,0.02709088,0.00006974,82.2300%,33.0919%
CDS-ndhF,282,3336,33.8094%,100.0000%,1.00000000,0.14238424,0.06614335,0.01210454,0.00003849,0.05403881,0.00011018,98.9362%,32.1554%
CDS-ndhG,285,641,17.3725%,100.0000%,1.00000000,0.11709824,0.04050337,0.00767764,0.00002769,0.03282573,0.00007657,91.9298%,33.9567%
CDS-ndhH,287,1277,8.2972%,100.0000%,1.00000000,0.11290367,0.03508863,0.00643820,0.00001972,0.02865042,0.00006934,96.1672%,38.1639%
